-0.0504823  0.704217  1.32486  
-0.0489272  0.685996  1.32487  
-0.0475841  0.668393  1.32507  
-0.0463144  0.649416  1.32519  
-0.0450197  0.631411  1.32532  
-0.0437289  0.614072  1.3254  
-0.0424254  0.597204  1.32555  
-0.0411338  0.580132  1.32571  
-0.039882  0.562194  1.32612  
-0.038581  0.544397  1.326  
-0.0373058  0.528091  1.32617  
-0.0360065  0.511708  1.32637  
-0.0346994  0.494682  1.32645  
-0.03346  0.477381  1.32657  
-0.0321447  0.459855  1.3269  
-0.0308601  0.44339  1.32706  
-0.0295762  0.427488  1.32698  
-0.0282878  0.410419  1.32739  
-0.0270004  0.392497  1.32745  
-0.0257308  0.375944  1.32757  
-0.0244288  0.359608  1.32764  
-0.0231326  0.343584  1.32758  
-0.021847  0.327334  1.32807  
-0.0205867  0.310245  1.32812  
-0.0192494  0.292884  1.3284  
-0.0180291  0.277506  1.32846  
-0.0167037  0.261687  1.32835  
-0.0154086  0.24577  1.32896  
-0.0141496  0.229652  1.32885  
-0.0128563  0.213438  1.32901  
-0.011555  0.197716  1.32891  
-0.0102868  0.18289  1.32922  
-0.00896405  0.166645  1.32932  
-0.00772225  0.15014  1.32988  
-0.00643236  0.134556  1.32992  
-0.00514424  0.119226  1.33001  
-0.00383404  0.10397  1.33026  
-0.00257295  0.088602  1.33035  
-0.00129708  0.0723792  1.3301  
1.90846e-05  0.0566054  1.33025  
0.0012582  0.0421025  1.33037  
0.00254519  0.0270031  1.33007  
0.00386936  0.0109152  1.33004  
0.0050918  -0.00498052  1.33003  
0.00641521  -0.0219815  1.33086  
0.00770884  -0.0372503  1.33027  
0.00897102  -0.0522452  1.32778  
0.0102501  -0.0681073  1.32827  
0.0115156  -0.0856746  1.32793  
0.0127662  -0.102165  1.32923  
0.0138785  -0.114058  1.33193  
0.0149303  -0.118604  1.33617  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
