-0.0504477  0.704837  1.32484  
-0.0489114  0.68695  1.3249  
-0.0475802  0.67016  1.32483  
-0.046315  0.651619  1.32528  
-0.044994  0.633527  1.32517  
-0.0436977  0.616575  1.32542  
-0.0424243  0.600239  1.32573  
-0.0411038  0.583058  1.32559  
-0.0398405  0.564945  1.32591  
-0.0385925  0.547778  1.3262  
-0.0372745  0.530713  1.32598  
-0.0359786  0.514555  1.32614  
-0.0346626  0.497916  1.32636  
-0.0333939  0.480603  1.32661  
-0.0321105  0.463839  1.32664  
-0.0308307  0.447466  1.32675  
-0.0295011  0.431089  1.32687  
-0.028261  0.414777  1.32714  
-0.0269688  0.396863  1.32742  
-0.0256594  0.379956  1.32759  
-0.0243608  0.363825  1.32773  
-0.0230667  0.347828  1.32772  
-0.0217773  0.3317  1.32789  
-0.0205167  0.314729  1.32829  
-0.0191857  0.297563  1.32808  
-0.0179529  0.281909  1.3284  
-0.0166315  0.266009  1.3287  
-0.0153362  0.249751  1.32881  
-0.014059  0.232964  1.32874  
-0.0127491  0.216713  1.32919  
-0.0114918  0.201532  1.32912  
-0.0101891  0.186502  1.32954  
-0.00887663  0.170814  1.32979  
-0.00764813  0.15458  1.32943  
-0.00634729  0.138551  1.32955  
-0.00504724  0.123173  1.33021  
-0.00373668  0.107818  1.33013  
-0.00243405  0.0917269  1.33009  
-0.00120445  0.0763359  1.33012  
0.000124446  0.0607633  1.33089  
0.00139122  0.0458096  1.33056  
0.00271024  0.030545  1.33012  
0.00402168  0.0144164  1.3301  
0.00525013  -0.00161784  1.32969  
0.00655032  -0.0181407  1.32976  
0.00786194  -0.0342089  1.32948  
0.0091251  -0.0496965  1.32901  
0.0104298  -0.066448  1.32827  
0.0116419  -0.0829111  1.32835  
0.0128992  -0.0982168  1.3279  
0.0143001  -0.116444  1.32947  
0.0154325  -0.129421  1.32941  
0.0163278  -0.132842  1.31707  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
-nan(ind)  -nan(ind)  -nan(ind)  
